CTUID,DGUID,CTNAME,LANDAREA,PRUID,how_many,X_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID
"5350126.00",2021S05075350126.00,"0126.00",1.4493,"35",22,1,2502366,26022881,,"174","174",South Eglinton-Davisville,South Eglinton-Davisville (174),Not an NIA or Emerging Neighbourhood,NA,17824737
"5350126.00",2021S05075350126.00,"0126.00",1.4493,"35",22,59,2502308,26022823,,"099","099",Mount Pleasant East,Mount Pleasant East (99),Not an NIA or Emerging Neighbourhood,NA,17825665
"5350126.00",2021S05075350126.00,"0126.00",1.4493,"35",22,60,2502307,26022822,,"098","098",Rosedale-Moore Park,Rosedale-Moore Park (98),Not an NIA or Emerging Neighbourhood,NA,17825681
"5350126.00",2021S05075350126.00,"0126.00",1.4493,"35",22,129,2502238,26022753,,"056","056",Leaside-Bennington,Leaside-Bennington (56),Not an NIA or Emerging Neighbourhood,NA,17826785
"5350127.00",2021S05075350127.00,"0127.00",0.7405,"35",28,59,2502308,26022823,,"099","099",Mount Pleasant East,Mount Pleasant East (99),Not an NIA or Emerging Neighbourhood,NA,17825665
"5350127.00",2021S05075350127.00,"0127.00",0.7405,"35",28,129,2502238,26022753,,"056","056",Leaside-Bennington,Leaside-Bennington (56),Not an NIA or Emerging Neighbourhood,NA,17826785
"5350129.00",2021S05075350129.00,"0129.00",0.9274,"35",38,1,2502366,26022881,,"174","174",South Eglinton-Davisville,South Eglinton-Davisville (174),Not an NIA or Emerging Neighbourhood,NA,17824737
"5350129.00",2021S05075350129.00,"0129.00",0.9274,"35",38,57,2502310,26022825,,"101","101",Forest Hill South,Forest Hill South (101),Not an NIA or Emerging Neighbourhood,NA,17825633
"5350129.00",2021S05075350129.00,"0129.00",0.9274,"35",38,58,2502309,26022824,,"100","100",Yonge-Eglinton,Yonge-Eglinton (100),Not an NIA or Emerging Neighbourhood,NA,17825649
"5350129.00",2021S05075350129.00,"0129.00",0.9274,"35",38,59,2502308,26022823,,"099","099",Mount Pleasant East,Mount Pleasant East (99),Not an NIA or Emerging Neighbourhood,NA,17825665
"5350129.00",2021S05075350129.00,"0129.00",0.9274,"35",38,61,2502306,26022821,,"097","097",Yonge-St.Clair,Yonge-St.Clair (97),Not an NIA or Emerging Neighbourhood,NA,17825697
"5350130.00",2021S05075350130.00,"0130.00",1.279,"35",42,57,2502310,26022825,,"101","101",Forest Hill South,Forest Hill South (101),Not an NIA or Emerging Neighbourhood,NA,17825633
"5350130.00",2021S05075350130.00,"0130.00",1.279,"35",42,58,2502309,26022824,,"100","100",Yonge-Eglinton,Yonge-Eglinton (100),Not an NIA or Emerging Neighbourhood,NA,17825649
"5350130.00",2021S05075350130.00,"0130.00",1.279,"35",42,61,2502306,26022821,,"097","097",Yonge-St.Clair,Yonge-St.Clair (97),Not an NIA or Emerging Neighbourhood,NA,17825697
"5350130.00",2021S05075350130.00,"0130.00",1.279,"35",42,62,2502305,26022820,,"096","096",Casa Loma,Casa Loma (96),Not an NIA or Emerging Neighbourhood,NA,17825713
"5350131.00",2021S05075350131.00,"0131.00",1.0444,"35",47,57,2502310,26022825,,"101","101",Forest Hill South,Forest Hill South (101),Not an NIA or Emerging Neighbourhood,NA,17825633
"5350131.00",2021S05075350131.00,"0131.00",1.0444,"35",47,62,2502305,26022820,,"096","096",Casa Loma,Casa Loma (96),Not an NIA or Emerging Neighbourhood,NA,17825713
"5350132.00",2021S05075350132.00,"0132.00",0.9246,"35",49,51,2502316,26022831,,"108","108",Briar Hill-Belgravia,Briar Hill-Belgravia (108),Not an NIA or Emerging Neighbourhood,NA,17825537
"5350132.00",2021S05075350132.00,"0132.00",0.9246,"35",49,52,2502315,26022830,,"107","107",Oakwood Village,Oakwood Village (107),Not an NIA or Emerging Neighbourhood,NA,17825553
"5350132.00",2021S05075350132.00,"0132.00",0.9246,"35",49,53,2502314,26022829,,"106","106",Humewood-Cedarvale,Humewood-Cedarvale (106),Not an NIA or Emerging Neighbourhood,NA,17825569
"5350132.00",2021S05075350132.00,"0132.00",0.9246,"35",49,56,2502311,26022826,,"102","102",Forest Hill North,Forest Hill North (102),Not an NIA or Emerging Neighbourhood,NA,17825617
"5350132.00",2021S05075350132.00,"0132.00",0.9246,"35",49,57,2502310,26022825,,"101","101",Forest Hill South,Forest Hill South (101),Not an NIA or Emerging Neighbourhood,NA,17825633
"5350132.00",2021S05075350132.00,"0132.00",0.9246,"35",49,114,2502253,26022768,,"039","039",Bedford Park-Nortown,Bedford Park-Nortown (39),Not an NIA or Emerging Neighbourhood,NA,17826545
"5350132.00",2021S05075350132.00,"0132.00",0.9246,"35",49,121,2502246,26022761,,"032","032",Englemount-Lawrence,Englemount-Lawrence (32),Emerging Neighbourhood,EN,17826657
"5350132.00",2021S05075350132.00,"0132.00",0.9246,"35",49,122,2502245,26022760,,"031","031",Yorkdale-Glen Park,Yorkdale-Glen Park (31),Emerging Neighbourhood,EN,17826673
"5350133.00",2021S05075350133.00,"0133.00",0.6675,"35",20,55,2502312,26022827,,"103","103",Lawrence Park South,Lawrence Park South (103),Not an NIA or Emerging Neighbourhood,NA,17825601
"5350133.00",2021S05075350133.00,"0133.00",0.6675,"35",20,56,2502311,26022826,,"102","102",Forest Hill North,Forest Hill North (102),Not an NIA or Emerging Neighbourhood,NA,17825617
"5350133.00",2021S05075350133.00,"0133.00",0.6675,"35",20,57,2502310,26022825,,"101","101",Forest Hill South,Forest Hill South (101),Not an NIA or Emerging Neighbourhood,NA,17825633
"5350133.00",2021S05075350133.00,"0133.00",0.6675,"35",20,114,2502253,26022768,,"039","039",Bedford Park-Nortown,Bedford Park-Nortown (39),Not an NIA or Emerging Neighbourhood,NA,17826545
"5350134.00",2021S05075350134.00,"0134.00",0.417,"35",17,55,2502312,26022827,,"103","103",Lawrence Park South,Lawrence Park South (103),Not an NIA or Emerging Neighbourhood,NA,17825601
"5350134.00",2021S05075350134.00,"0134.00",0.417,"35",17,57,2502310,26022825,,"101","101",Forest Hill South,Forest Hill South (101),Not an NIA or Emerging Neighbourhood,NA,17825633
"5350134.00",2021S05075350134.00,"0134.00",0.417,"35",17,58,2502309,26022824,,"100","100",Yonge-Eglinton,Yonge-Eglinton (100),Not an NIA or Emerging Neighbourhood,NA,17825649
"5350135.00",2021S05075350135.00,"0135.00",0.7162,"35",24,1,2502366,26022881,,"174","174",South Eglinton-Davisville,South Eglinton-Davisville (174),Not an NIA or Emerging Neighbourhood,NA,17824737
"5350135.00",2021S05075350135.00,"0135.00",0.7162,"35",24,2,2502365,26022880,,"173","173",North Toronto,North Toronto (173),Not an NIA or Emerging Neighbourhood,NA,17824753
"5350135.00",2021S05075350135.00,"0135.00",0.7162,"35",24,55,2502312,26022827,,"103","103",Lawrence Park South,Lawrence Park South (103),Not an NIA or Emerging Neighbourhood,NA,17825601
"5350135.00",2021S05075350135.00,"0135.00",0.7162,"35",24,58,2502309,26022824,,"100","100",Yonge-Eglinton,Yonge-Eglinton (100),Not an NIA or Emerging Neighbourhood,NA,17825649
"5350135.00",2021S05075350135.00,"0135.00",0.7162,"35",24,59,2502308,26022823,,"099","099",Mount Pleasant East,Mount Pleasant East (99),Not an NIA or Emerging Neighbourhood,NA,17825665
"5350137.00",2021S05075350137.00,"0137.00",0.9142,"35",24,2,2502365,26022880,,"173","173",North Toronto,North Toronto (173),Not an NIA or Emerging Neighbourhood,NA,17824753
"5350137.00",2021S05075350137.00,"0137.00",0.9142,"35",24,59,2502308,26022823,,"099","099",Mount Pleasant East,Mount Pleasant East (99),Not an NIA or Emerging Neighbourhood,NA,17825665
"5350137.00",2021S05075350137.00,"0137.00",0.9142,"35",24,112,2502255,26022770,,"041","041",Bridle Path-Sunnybrook-York Mills,Bridle Path-Sunnybrook-York Mills (41),Not an NIA or Emerging Neighbourhood,NA,17826513
"5350137.00",2021S05075350137.00,"0137.00",0.9142,"35",24,129,2502238,26022753,,"056","056",Leaside-Bennington,Leaside-Bennington (56),Not an NIA or Emerging Neighbourhood,NA,17826785
"5350138.00",2021S05075350138.00,"0138.00",0.9655,"35",36,55,2502312,26022827,,"103","103",Lawrence Park South,Lawrence Park South (103),Not an NIA or Emerging Neighbourhood,NA,17825601
"5350138.00",2021S05075350138.00,"0138.00",0.9655,"35",36,59,2502308,26022823,,"099","099",Mount Pleasant East,Mount Pleasant East (99),Not an NIA or Emerging Neighbourhood,NA,17825665
"5350138.00",2021S05075350138.00,"0138.00",0.9655,"35",36,112,2502255,26022770,,"041","041",Bridle Path-Sunnybrook-York Mills,Bridle Path-Sunnybrook-York Mills (41),Not an NIA or Emerging Neighbourhood,NA,17826513
"5350140.00",2021S05075350140.00,"0140.00",0.572,"35",20,55,2502312,26022827,,"103","103",Lawrence Park South,Lawrence Park South (103),Not an NIA or Emerging Neighbourhood,NA,17825601
"5350140.00",2021S05075350140.00,"0140.00",0.572,"35",20,56,2502311,26022826,,"102","102",Forest Hill North,Forest Hill North (102),Not an NIA or Emerging Neighbourhood,NA,17825617
"5350140.00",2021S05075350140.00,"0140.00",0.572,"35",20,58,2502309,26022824,,"100","100",Yonge-Eglinton,Yonge-Eglinton (100),Not an NIA or Emerging Neighbourhood,NA,17825649
"5350140.00",2021S05075350140.00,"0140.00",0.572,"35",20,114,2502253,26022768,,"039","039",Bedford Park-Nortown,Bedford Park-Nortown (39),Not an NIA or Emerging Neighbourhood,NA,17826545
"5350142.00",2021S05075350142.00,"0142.00",1.0439,"35",40,54,2502313,26022828,,"105","105",Lawrence Park North,Lawrence Park North (105),Not an NIA or Emerging Neighbourhood,NA,17825585
"5350142.00",2021S05075350142.00,"0142.00",1.0439,"35",40,55,2502312,26022827,,"103","103",Lawrence Park South,Lawrence Park South (103),Not an NIA or Emerging Neighbourhood,NA,17825601
"5350142.00",2021S05075350142.00,"0142.00",1.0439,"35",40,112,2502255,26022770,,"041","041",Bridle Path-Sunnybrook-York Mills,Bridle Path-Sunnybrook-York Mills (41),Not an NIA or Emerging Neighbourhood,NA,17826513
"5350150.00",2021S05075350150.00,"0150.00",1.071,"35",29,74,2502293,26022808,,"114","114",Lambton Baby Point,Lambton Baby Point (114),Not an NIA or Emerging Neighbourhood,NA,17825905
"5350150.00",2021S05075350150.00,"0150.00",1.071,"35",29,99,2502268,26022783,,"089","089",Runnymede-Bloor West Village,Runnymede-Bloor West Village (89),Not an NIA or Emerging Neighbourhood,NA,17826305
"5350150.00",2021S05075350150.00,"0150.00",1.071,"35",29,101,2502266,26022781,,"087","087",High Park-Swansea,High Park-Swansea (87),Not an NIA or Emerging Neighbourhood,NA,17826337
"5350150.00",2021S05075350150.00,"0150.00",1.071,"35",29,140,2502227,26022742,,"016","016",Stonegate-Queensway,Stonegate-Queensway (16),Not an NIA or Emerging Neighbourhood,NA,17826961
"5350150.00",2021S05075350150.00,"0150.00",1.071,"35",29,141,2502226,26022741,,"015","015",Kingsway South,Kingsway South (15),Not an NIA or Emerging Neighbourhood,NA,17826977
"5350151.00",2021S05075350151.00,"0151.00",0.6388,"35",20,74,2502293,26022808,,"114","114",Lambton Baby Point,Lambton Baby Point (114),Not an NIA or Emerging Neighbourhood,NA,17825905
"5350151.00",2021S05075350151.00,"0151.00",0.6388,"35",20,77,2502290,26022805,,"111","111",Rockcliffe-Smythe,Rockcliffe-Smythe (111),Neighbourhood Improvement Area,NIA,17825953
"5350151.00",2021S05075350151.00,"0151.00",0.6388,"35",20,99,2502268,26022783,,"089","089",Runnymede-Bloor West Village,Runnymede-Bloor West Village (89),Not an NIA or Emerging Neighbourhood,NA,17826305
"5350151.00",2021S05075350151.00,"0151.00",0.6388,"35",20,141,2502226,26022741,,"015","015",Kingsway South,Kingsway South (15),Not an NIA or Emerging Neighbourhood,NA,17826977
"5350151.00",2021S05075350151.00,"0151.00",0.6388,"35",20,146,2502221,26022736,,"009","009",Edenbridge-Humber Valley,Edenbridge-Humber Valley (9),Not an NIA or Emerging Neighbourhood,NA,17827057
"5350152.00",2021S05075350152.00,"0152.00",0.8517,"35",28,67,2502300,26022815,,"090","090",Junction Area,Junction Area (90),Not an NIA or Emerging Neighbourhood,NA,17825793
"5350152.00",2021S05075350152.00,"0152.00",0.8517,"35",28,74,2502293,26022808,,"114","114",Lambton Baby Point,Lambton Baby Point (114),Not an NIA or Emerging Neighbourhood,NA,17825905
"5350152.00",2021S05075350152.00,"0152.00",0.8517,"35",28,99,2502268,26022783,,"089","089",Runnymede-Bloor West Village,Runnymede-Bloor West Village (89),Not an NIA or Emerging Neighbourhood,NA,17826305
"5350153.00",2021S05075350153.00,"0153.00",0.9311,"35",29,67,2502300,26022815,,"090","090",Junction Area,Junction Area (90),Not an NIA or Emerging Neighbourhood,NA,17825793
"5350153.00",2021S05075350153.00,"0153.00",0.9311,"35",29,74,2502293,26022808,,"114","114",Lambton Baby Point,Lambton Baby Point (114),Not an NIA or Emerging Neighbourhood,NA,17825905
"5350153.00",2021S05075350153.00,"0153.00",0.9311,"35",29,77,2502290,26022805,,"111","111",Rockcliffe-Smythe,Rockcliffe-Smythe (111),Neighbourhood Improvement Area,NIA,17825953
"5350153.00",2021S05075350153.00,"0153.00",0.9311,"35",29,99,2502268,26022783,,"089","089",Runnymede-Bloor West Village,Runnymede-Bloor West Village (89),Not an NIA or Emerging Neighbourhood,NA,17826305
"5350154.00",2021S05075350154.00,"0154.00",2.0905,"35",30,73,2502294,26022809,,"115","115",Mount Dennis,Mount Dennis (115),Neighbourhood Improvement Area,NIA,17825889
"5350154.00",2021S05075350154.00,"0154.00",2.0905,"35",30,74,2502293,26022808,,"114","114",Lambton Baby Point,Lambton Baby Point (114),Not an NIA or Emerging Neighbourhood,NA,17825905
"5350154.00",2021S05075350154.00,"0154.00",2.0905,"35",30,77,2502290,26022805,,"111","111",Rockcliffe-Smythe,Rockcliffe-Smythe (111),Neighbourhood Improvement Area,NIA,17825953
"5350154.00",2021S05075350154.00,"0154.00",2.0905,"35",30,146,2502221,26022736,,"009","009",Edenbridge-Humber Valley,Edenbridge-Humber Valley (9),Not an NIA or Emerging Neighbourhood,NA,17827057
"5350154.00",2021S05075350154.00,"0154.00",2.0905,"35",30,147,2502220,26022735,,"008","008",Humber Heights-Westmount,Humber Heights-Westmount (8),Emerging Neighbourhood,EN,17827073
"5350155.00",2021S05075350155.00,"0155.00",0.8071,"35",19,66,2502301,26022816,,"091","091",Weston-Pelham Park,Weston-Pelham Park (91),Neighbourhood Improvement Area,NIA,17825777
"5350155.00",2021S05075350155.00,"0155.00",0.8071,"35",19,67,2502300,26022815,,"090","090",Junction Area,Junction Area (90),Not an NIA or Emerging Neighbourhood,NA,17825793
"5350155.00",2021S05075350155.00,"0155.00",0.8071,"35",19,77,2502290,26022805,,"111","111",Rockcliffe-Smythe,Rockcliffe-Smythe (111),Neighbourhood Improvement Area,NIA,17825953
"5350155.00",2021S05075350155.00,"0155.00",0.8071,"35",19,78,2502289,26022804,,"110","110",Keelesdale-Eglinton West,Keelesdale-Eglinton West (110),Neighbourhood Improvement Area,NIA,17825969
"5350157.00",2021S05075350157.00,"0157.00",0.4606,"35",11,73,2502294,26022809,,"115","115",Mount Dennis,Mount Dennis (115),Neighbourhood Improvement Area,NIA,17825889
"5350157.00",2021S05075350157.00,"0157.00",0.4606,"35",11,77,2502290,26022805,,"111","111",Rockcliffe-Smythe,Rockcliffe-Smythe (111),Neighbourhood Improvement Area,NIA,17825953
"5350157.00",2021S05075350157.00,"0157.00",0.4606,"35",11,78,2502289,26022804,,"110","110",Keelesdale-Eglinton West,Keelesdale-Eglinton West (110),Neighbourhood Improvement Area,NIA,17825969
"5350158.00",2021S05075350158.00,"0158.00",0.6353,"35",16,66,2502301,26022816,,"091","091",Weston-Pelham Park,Weston-Pelham Park (91),Neighbourhood Improvement Area,NIA,17825777
"5350158.00",2021S05075350158.00,"0158.00",0.6353,"35",16,78,2502289,26022804,,"110","110",Keelesdale-Eglinton West,Keelesdale-Eglinton West (110),Neighbourhood Improvement Area,NIA,17825969
"5350160.00",2021S05075350160.00,"0160.00",0.7312,"35",17,50,2502317,26022832,,"109","109",Caledonia-Fairbank,Caledonia-Fairbank (109),Not an NIA or Emerging Neighbourhood,NA,17825521
"5350160.00",2021S05075350160.00,"0160.00",0.7312,"35",17,65,2502302,26022817,,"092","092",Corso Italia-Davenport,Corso Italia-Davenport (92),Not an NIA or Emerging Neighbourhood,NA,17825761
"5350161.00",2021S05075350161.00,"0161.00",0.8113,"35",40,50,2502317,26022832,,"109","109",Caledonia-Fairbank,Caledonia-Fairbank (109),Not an NIA or Emerging Neighbourhood,NA,17825521
"5350161.00",2021S05075350161.00,"0161.00",0.8113,"35",40,52,2502315,26022830,,"107","107",Oakwood Village,Oakwood Village (107),Not an NIA or Emerging Neighbourhood,NA,17825553
"5350161.00",2021S05075350161.00,"0161.00",0.8113,"35",40,65,2502302,26022817,,"092","092",Corso Italia-Davenport,Corso Italia-Davenport (92),Not an NIA or Emerging Neighbourhood,NA,17825761
"5350162.00",2021S05075350162.00,"0162.00",0.5757,"35",24,52,2502315,26022830,,"107","107",Oakwood Village,Oakwood Village (107),Not an NIA or Emerging Neighbourhood,NA,17825553
"5350163.00",2021S05075350163.00,"0163.00",0.4542,"35",20,52,2502315,26022830,,"107","107",Oakwood Village,Oakwood Village (107),Not an NIA or Emerging Neighbourhood,NA,17825553
"5350163.00",2021S05075350163.00,"0163.00",0.4542,"35",20,64,2502303,26022818,,"094","094",Wychwood,Wychwood (94),Not an NIA or Emerging Neighbourhood,NA,17825745
"5350163.00",2021S05075350163.00,"0163.00",0.4542,"35",20,65,2502302,26022817,,"092","092",Corso Italia-Davenport,Corso Italia-Davenport (92),Not an NIA or Emerging Neighbourhood,NA,17825761
"5350164.00",2021S05075350164.00,"0164.00",0.6282,"35",28,52,2502315,26022830,,"107","107",Oakwood Village,Oakwood Village (107),Not an NIA or Emerging Neighbourhood,NA,17825553
"5350164.00",2021S05075350164.00,"0164.00",0.6282,"35",28,53,2502314,26022829,,"106","106",Humewood-Cedarvale,Humewood-Cedarvale (106),Not an NIA or Emerging Neighbourhood,NA,17825569
"5350164.00",2021S05075350164.00,"0164.00",0.6282,"35",28,64,2502303,26022818,,"094","094",Wychwood,Wychwood (94),Not an NIA or Emerging Neighbourhood,NA,17825745
"5350165.00",2021S05075350165.00,"0165.00",0.4849,"35",22,53,2502314,26022829,,"106","106",Humewood-Cedarvale,Humewood-Cedarvale (106),Not an NIA or Emerging Neighbourhood,NA,17825569
"5350165.00",2021S05075350165.00,"0165.00",0.4849,"35",22,64,2502303,26022818,,"094","094",Wychwood,Wychwood (94),Not an NIA or Emerging Neighbourhood,NA,17825745
"5350166.00",2021S05075350166.00,"0166.00",0.786,"35",33,53,2502314,26022829,,"106","106",Humewood-Cedarvale,Humewood-Cedarvale (106),Not an NIA or Emerging Neighbourhood,NA,17825569
"5350166.00",2021S05075350166.00,"0166.00",0.786,"35",33,57,2502310,26022825,,"101","101",Forest Hill South,Forest Hill South (101),Not an NIA or Emerging Neighbourhood,NA,17825633
"5350168.00",2021S05075350168.00,"0168.00",0.5655,"35",30,52,2502315,26022830,,"107","107",Oakwood Village,Oakwood Village (107),Not an NIA or Emerging Neighbourhood,NA,17825553
"5350168.00",2021S05075350168.00,"0168.00",0.5655,"35",30,53,2502314,26022829,,"106","106",Humewood-Cedarvale,Humewood-Cedarvale (106),Not an NIA or Emerging Neighbourhood,NA,17825569
"5350170.00",2021S05075350170.00,"0170.00",1.0124,"35",31,50,2502317,26022832,,"109","109",Caledonia-Fairbank,Caledonia-Fairbank (109),Not an NIA or Emerging Neighbourhood,NA,17825521
"5350170.00",2021S05075350170.00,"0170.00",1.0124,"35",31,51,2502316,26022831,,"108","108",Briar Hill-Belgravia,Briar Hill-Belgravia (108),Not an NIA or Emerging Neighbourhood,NA,17825537
"5350170.00",2021S05075350170.00,"0170.00",1.0124,"35",31,52,2502315,26022830,,"107","107",Oakwood Village,Oakwood Village (107),Not an NIA or Emerging Neighbourhood,NA,17825553
"5350170.00",2021S05075350170.00,"0170.00",1.0124,"35",31,122,2502245,26022760,,"031","031",Yorkdale-Glen Park,Yorkdale-Glen Park (31),Emerging Neighbourhood,EN,17826673
"5350171.00",2021S05075350171.00,"0171.00",0.61,"35",22,50,2502317,26022832,,"109","109",Caledonia-Fairbank,Caledonia-Fairbank (109),Not an NIA or Emerging Neighbourhood,NA,17825521
"5350171.00",2021S05075350171.00,"0171.00",0.61,"35",22,51,2502316,26022831,,"108","108",Briar Hill-Belgravia,Briar Hill-Belgravia (108),Not an NIA or Emerging Neighbourhood,NA,17825537
"5350171.00",2021S05075350171.00,"0171.00",0.61,"35",22,76,2502291,26022806,,"112","112",Beechborough-Greenbrook,Beechborough-Greenbrook (112),Neighbourhood Improvement Area,NIA,17825937
"5350171.00",2021S05075350171.00,"0171.00",0.61,"35",22,78,2502289,26022804,,"110","110",Keelesdale-Eglinton West,Keelesdale-Eglinton West (110),Neighbourhood Improvement Area,NIA,17825969
"5350171.00",2021S05075350171.00,"0171.00",0.61,"35",22,122,2502245,26022760,,"031","031",Yorkdale-Glen Park,Yorkdale-Glen Park (31),Emerging Neighbourhood,EN,17826673
"5350171.00",2021S05075350171.00,"0171.00",0.61,"35",22,123,2502244,26022759,,"030","030",Brookhaven-Amesbury,Brookhaven-Amesbury (30),Not an NIA or Emerging Neighbourhood,NA,17826689
"5350172.00",2021S05075350172.00,"0172.00",1.207,"35",21,76,2502291,26022806,,"112","112",Beechborough-Greenbrook,Beechborough-Greenbrook (112),Neighbourhood Improvement Area,NIA,17825937
"5350172.00",2021S05075350172.00,"0172.00",1.207,"35",21,78,2502289,26022804,,"110","110",Keelesdale-Eglinton West,Keelesdale-Eglinton West (110),Neighbourhood Improvement Area,NIA,17825969
"5350172.00",2021S05075350172.00,"0172.00",1.207,"35",21,123,2502244,26022759,,"030","030",Brookhaven-Amesbury,Brookhaven-Amesbury (30),Not an NIA or Emerging Neighbourhood,NA,17826689
"5350173.00",2021S05075350173.00,"0173.00",0.5942,"35",20,73,2502294,26022809,,"115","115",Mount Dennis,Mount Dennis (115),Neighbourhood Improvement Area,NIA,17825889
"5350173.00",2021S05075350173.00,"0173.00",0.5942,"35",20,76,2502291,26022806,,"112","112",Beechborough-Greenbrook,Beechborough-Greenbrook (112),Neighbourhood Improvement Area,NIA,17825937
"5350173.00",2021S05075350173.00,"0173.00",0.5942,"35",20,78,2502289,26022804,,"110","110",Keelesdale-Eglinton West,Keelesdale-Eglinton West (110),Neighbourhood Improvement Area,NIA,17825969
"5350174.00",2021S05075350174.00,"0174.00",1.0531,"35",21,73,2502294,26022809,,"115","115",Mount Dennis,Mount Dennis (115),Neighbourhood Improvement Area,NIA,17825889
"5350174.00",2021S05075350174.00,"0174.00",1.0531,"35",21,75,2502292,26022807,,"113","113",Weston,Weston (113),Neighbourhood Improvement Area,NIA,17825921
"5350174.00",2021S05075350174.00,"0174.00",1.0531,"35",21,77,2502290,26022805,,"111","111",Rockcliffe-Smythe,Rockcliffe-Smythe (111),Neighbourhood Improvement Area,NIA,17825953
"5350174.00",2021S05075350174.00,"0174.00",1.0531,"35",21,147,2502220,26022735,,"008","008",Humber Heights-Westmount,Humber Heights-Westmount (8),Emerging Neighbourhood,EN,17827073
"5350176.00",2021S05075350176.00,"0176.00",1.0009,"35",40,75,2502292,26022807,,"113","113",Weston,Weston (113),Neighbourhood Improvement Area,NIA,17825921
"5350176.00",2021S05075350176.00,"0176.00",1.0009,"35",40,123,2502244,26022759,,"030","030",Brookhaven-Amesbury,Brookhaven-Amesbury (30),Not an NIA or Emerging Neighbourhood,NA,17826689
"5350176.00",2021S05075350176.00,"0176.00",1.0009,"35",40,125,2502242,26022757,,"028","028",Rustic,Rustic (28),Neighbourhood Improvement Area,NIA,17826721
"5350176.00",2021S05075350176.00,"0176.00",1.0009,"35",40,156,2502211,26022726,,"023","023",Pelmo Park-Humberlea,Pelmo Park-Humberlea (23),Not an NIA or Emerging Neighbourhood,NA,17827217
"5350180.00",2021S05075350180.00,"0180.00",0.6138,"35",29,68,2502299,26022814,,"121","121",Oakridge,Oakridge (121),Neighbourhood Improvement Area,NIA,17825809
"5350180.00",2021S05075350180.00,"0180.00",0.6138,"35",29,94,2502273,26022788,,"062","062",East End-Danforth,East End-Danforth (62),Not an NIA or Emerging Neighbourhood,NA,17826225
"5350180.00",2021S05075350180.00,"0180.00",0.6138,"35",29,95,2502272,26022787,,"061","061",Taylor-Massey,Taylor-Massey (61),Neighbourhood Improvement Area,NIA,17826241
"5350180.00",2021S05075350180.00,"0180.00",0.6138,"35",29,131,2502236,26022751,,"054","054",O'Connor-Parkview,O'Connor-Parkview (54),Not an NIA or Emerging Neighbourhood,NA,17826817
"5350182.00",2021S05075350182.00,"0182.00",0.7605,"35",47,90,2502277,26022792,,"066","066",Danforth,Danforth (66),Not an NIA or Emerging Neighbourhood,NA,17826161
"5350182.00",2021S05075350182.00,"0182.00",0.7605,"35",47,94,2502273,26022788,,"062","062",East End-Danforth,East End-Danforth (62),Not an NIA or Emerging Neighbourhood,NA,17826225
"5350182.00",2021S05075350182.00,"0182.00",0.7605,"35",47,96,2502271,26022786,,"060","060",Woodbine-Lumsden,Woodbine-Lumsden (60),Not an NIA or Emerging Neighbourhood,NA,17826257
"5350182.00",2021S05075350182.00,"0182.00",0.7605,"35",47,97,2502270,26022785,,"059","059",Danforth East York,Danforth East York (59),Not an NIA or Emerging Neighbourhood,NA,17826273
"5350186.00",2021S05075350186.00,"0186.00",1.8682,"35",28,60,2502307,26022822,,"098","098",Rosedale-Moore Park,Rosedale-Moore Park (98),Not an NIA or Emerging Neighbourhood,NA,17825681
"5350186.00",2021S05075350186.00,"0186.00",1.8682,"35",28,89,2502278,26022793,,"067","067",Playter Estates-Danforth,Playter Estates-Danforth (67),Not an NIA or Emerging Neighbourhood,NA,17826145
"5350186.00",2021S05075350186.00,"0186.00",1.8682,"35",28,128,2502239,26022754,,"057","057",Broadview North,Broadview North (57),Not an NIA or Emerging Neighbourhood,NA,17826769
"5350186.00",2021S05075350186.00,"0186.00",1.8682,"35",28,129,2502238,26022753,,"056","056",Leaside-Bennington,Leaside-Bennington (56),Not an NIA or Emerging Neighbourhood,NA,17826785
"5350186.00",2021S05075350186.00,"0186.00",1.8682,"35",28,130,2502237,26022752,,"055","055",Thorncliffe Park,Thorncliffe Park (55),Neighbourhood Improvement Area,NIA,17826801
"5350187.00",2021S05075350187.00,"0187.00",1.1945,"35",37,97,2502270,26022785,,"059","059",Danforth East York,Danforth East York (59),Not an NIA or Emerging Neighbourhood,NA,17826273
"5350187.00",2021S05075350187.00,"0187.00",1.1945,"35",37,98,2502269,26022784,,"058","058",Old East York,Old East York (58),Not an NIA or Emerging Neighbourhood,NA,17826289
"5350187.00",2021S05075350187.00,"0187.00",1.1945,"35",37,130,2502237,26022752,,"055","055",Thorncliffe Park,Thorncliffe Park (55),Neighbourhood Improvement Area,NIA,17826801
"5350187.00",2021S05075350187.00,"0187.00",1.1945,"35",37,131,2502236,26022751,,"054","054",O'Connor-Parkview,O'Connor-Parkview (54),Not an NIA or Emerging Neighbourhood,NA,17826817
"5350188.00",2021S05075350188.00,"0188.00",0.552,"35",19,96,2502271,26022786,,"060","060",Woodbine-Lumsden,Woodbine-Lumsden (60),Not an NIA or Emerging Neighbourhood,NA,17826257
"5350188.00",2021S05075350188.00,"0188.00",0.552,"35",19,97,2502270,26022785,,"059","059",Danforth East York,Danforth East York (59),Not an NIA or Emerging Neighbourhood,NA,17826273
