CTUID,DGUID,CTNAME,LANDAREA,PRUID,how_many,X_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID
"5350086.00",2021S05075350086.00,"0086.00",1.139,"35",22,60,2502307,26022822,,"098","098",Rosedale-Moore Park,Rosedale-Moore Park (98),Not an NIA or Emerging Neighbourhood,NA,17825681
"5350086.00",2021S05075350086.00,"0086.00",1.139,"35",22,129,2502238,26022753,,"056","056",Leaside-Bennington,Leaside-Bennington (56),Not an NIA or Emerging Neighbourhood,NA,17826785
"5350087.00",2021S05075350087.00,"0087.00",1.6034,"35",44,60,2502307,26022822,,"098","098",Rosedale-Moore Park,Rosedale-Moore Park (98),Not an NIA or Emerging Neighbourhood,NA,17825681
"5350087.00",2021S05075350087.00,"0087.00",1.6034,"35",44,82,2502285,26022800,,"074","074",North St.James Town,North St.James Town (74),Not an NIA or Emerging Neighbourhood,NA,17826033
"5350087.00",2021S05075350087.00,"0087.00",1.6034,"35",44,85,2502282,26022797,,"071","071",Cabbagetown-South St.James Town,Cabbagetown-South St.James Town (71),Not an NIA or Emerging Neighbourhood,NA,17826081
"5350087.00",2021S05075350087.00,"0087.00",1.6034,"35",44,89,2502278,26022793,,"067","067",Playter Estates-Danforth,Playter Estates-Danforth (67),Not an NIA or Emerging Neighbourhood,NA,17826145
"5350087.00",2021S05075350087.00,"0087.00",1.6034,"35",44,129,2502238,26022753,,"056","056",Leaside-Bennington,Leaside-Bennington (56),Not an NIA or Emerging Neighbourhood,NA,17826785
"5350088.00",2021S05075350088.00,"0088.00",0.2297,"35",12,39,2502328,26022843,,"167","167",Church-Wellesley,Church-Wellesley (167),Not an NIA or Emerging Neighbourhood,NA,17825345
"5350088.00",2021S05075350088.00,"0088.00",0.2297,"35",12,60,2502307,26022822,,"098","098",Rosedale-Moore Park,Rosedale-Moore Park (98),Not an NIA or Emerging Neighbourhood,NA,17825681
"5350088.00",2021S05075350088.00,"0088.00",0.2297,"35",12,82,2502285,26022800,,"074","074",North St.James Town,North St.James Town (74),Not an NIA or Emerging Neighbourhood,NA,17826033
"5350089.00",2021S05075350089.00,"0089.00",0.3297,"35",16,6,2502361,26022876,,"169","169",Bay-Cloverhill,Bay-Cloverhill (169),Not an NIA or Emerging Neighbourhood,NA,17824817
"5350089.00",2021S05075350089.00,"0089.00",0.3297,"35",16,39,2502328,26022843,,"167","167",Church-Wellesley,Church-Wellesley (167),Not an NIA or Emerging Neighbourhood,NA,17825345
"5350089.00",2021S05075350089.00,"0089.00",0.3297,"35",16,60,2502307,26022822,,"098","098",Rosedale-Moore Park,Rosedale-Moore Park (98),Not an NIA or Emerging Neighbourhood,NA,17825681
"5350089.00",2021S05075350089.00,"0089.00",0.3297,"35",16,63,2502304,26022819,,"095","095",Annex,Annex (95),Not an NIA or Emerging Neighbourhood,NA,17825729
"5350090.00",2021S05075350090.00,"0090.00",0.3929,"35",12,60,2502307,26022822,,"098","098",Rosedale-Moore Park,Rosedale-Moore Park (98),Not an NIA or Emerging Neighbourhood,NA,17825681
"5350090.00",2021S05075350090.00,"0090.00",0.3929,"35",12,61,2502306,26022821,,"097","097",Yonge-St.Clair,Yonge-St.Clair (97),Not an NIA or Emerging Neighbourhood,NA,17825697
"5350090.00",2021S05075350090.00,"0090.00",0.3929,"35",12,63,2502304,26022819,,"095","095",Annex,Annex (95),Not an NIA or Emerging Neighbourhood,NA,17825729
"5350092.00",2021S05075350092.00,"0092.00",0.6258,"35",25,62,2502305,26022820,,"096","096",Casa Loma,Casa Loma (96),Not an NIA or Emerging Neighbourhood,NA,17825713
"5350092.00",2021S05075350092.00,"0092.00",0.6258,"35",25,63,2502304,26022819,,"095","095",Annex,Annex (95),Not an NIA or Emerging Neighbourhood,NA,17825729
"5350092.00",2021S05075350092.00,"0092.00",0.6258,"35",25,80,2502287,26022802,,"079","079",University,University (79),Not an NIA or Emerging Neighbourhood,NA,17826001
"5350093.00",2021S05075350093.00,"0093.00",0.6155,"35",33,62,2502305,26022820,,"096","096",Casa Loma,Casa Loma (96),Not an NIA or Emerging Neighbourhood,NA,17825713
"5350093.00",2021S05075350093.00,"0093.00",0.6155,"35",33,63,2502304,26022819,,"095","095",Annex,Annex (95),Not an NIA or Emerging Neighbourhood,NA,17825729
"5350093.00",2021S05075350093.00,"0093.00",0.6155,"35",33,64,2502303,26022818,,"094","094",Wychwood,Wychwood (94),Not an NIA or Emerging Neighbourhood,NA,17825745
"5350093.00",2021S05075350093.00,"0093.00",0.6155,"35",33,79,2502288,26022803,,"080","080",Palmerston-Little Italy,Palmerston-Little Italy (80),Not an NIA or Emerging Neighbourhood,NA,17825985
"5350093.00",2021S05075350093.00,"0093.00",0.6155,"35",33,80,2502287,26022802,,"079","079",University,University (79),Not an NIA or Emerging Neighbourhood,NA,17826001
"5350094.00",2021S05075350094.00,"0094.00",0.6373,"35",31,3,2502364,26022879,,"172","172",Dovercourt Village,Dovercourt Village (172),Not an NIA or Emerging Neighbourhood,NA,17824769
"5350094.00",2021S05075350094.00,"0094.00",0.6373,"35",31,63,2502304,26022819,,"095","095",Annex,Annex (95),Not an NIA or Emerging Neighbourhood,NA,17825729
"5350094.00",2021S05075350094.00,"0094.00",0.6373,"35",31,79,2502288,26022803,,"080","080",Palmerston-Little Italy,Palmerston-Little Italy (80),Not an NIA or Emerging Neighbourhood,NA,17825985
"5350095.00",2021S05075350095.00,"0095.00",0.3148,"35",11,3,2502364,26022879,,"172","172",Dovercourt Village,Dovercourt Village (172),Not an NIA or Emerging Neighbourhood,NA,17824769
"5350095.00",2021S05075350095.00,"0095.00",0.3148,"35",11,79,2502288,26022803,,"080","080",Palmerston-Little Italy,Palmerston-Little Italy (80),Not an NIA or Emerging Neighbourhood,NA,17825985
"5350098.00",2021S05075350098.00,"0098.00",0.7166,"35",28,4,2502363,26022878,,"171","171",Junction-Wallace Emerson,Junction-Wallace Emerson (171),Not an NIA or Emerging Neighbourhood,NA,17824785
"5350098.00",2021S05075350098.00,"0098.00",0.7166,"35",28,67,2502300,26022815,,"090","090",Junction Area,Junction Area (90),Not an NIA or Emerging Neighbourhood,NA,17825793
"5350098.00",2021S05075350098.00,"0098.00",0.7166,"35",28,105,2502262,26022777,,"083","083",Dufferin Grove,Dufferin Grove (83),Not an NIA or Emerging Neighbourhood,NA,17826401
"5350099.00",2021S05075350099.00,"0099.00",0.5812,"35",24,4,2502363,26022878,,"171","171",Junction-Wallace Emerson,Junction-Wallace Emerson (171),Not an NIA or Emerging Neighbourhood,NA,17824785
"5350099.00",2021S05075350099.00,"0099.00",0.5812,"35",24,100,2502267,26022782,,"088","088",High Park North,High Park North (88),Not an NIA or Emerging Neighbourhood,NA,17826321
"5350099.00",2021S05075350099.00,"0099.00",0.5812,"35",24,101,2502266,26022781,,"087","087",High Park-Swansea,High Park-Swansea (87),Not an NIA or Emerging Neighbourhood,NA,17826337
"5350099.00",2021S05075350099.00,"0099.00",0.5812,"35",24,102,2502265,26022780,,"086","086",Roncesvalles,Roncesvalles (86),Not an NIA or Emerging Neighbourhood,NA,17826353
"5350099.00",2021S05075350099.00,"0099.00",0.5812,"35",24,105,2502262,26022777,,"083","083",Dufferin Grove,Dufferin Grove (83),Not an NIA or Emerging Neighbourhood,NA,17826401
"5350100.00",2021S05075350100.00,"0100.00",0.2858,"35",13,4,2502363,26022878,,"171","171",Junction-Wallace Emerson,Junction-Wallace Emerson (171),Not an NIA or Emerging Neighbourhood,NA,17824785
"5350100.00",2021S05075350100.00,"0100.00",0.2858,"35",13,67,2502300,26022815,,"090","090",Junction Area,Junction Area (90),Not an NIA or Emerging Neighbourhood,NA,17825793
"5350100.00",2021S05075350100.00,"0100.00",0.2858,"35",13,100,2502267,26022782,,"088","088",High Park North,High Park North (88),Not an NIA or Emerging Neighbourhood,NA,17826321
"5350101.00",2021S05075350101.00,"0101.00",0.4269,"35",16,67,2502300,26022815,,"090","090",Junction Area,Junction Area (90),Not an NIA or Emerging Neighbourhood,NA,17825793
"5350101.00",2021S05075350101.00,"0101.00",0.4269,"35",16,100,2502267,26022782,,"088","088",High Park North,High Park North (88),Not an NIA or Emerging Neighbourhood,NA,17826321
"5350103.00",2021S05075350103.00,"0103.00",0.8379,"35",28,67,2502300,26022815,,"090","090",Junction Area,Junction Area (90),Not an NIA or Emerging Neighbourhood,NA,17825793
"5350103.00",2021S05075350103.00,"0103.00",0.8379,"35",28,100,2502267,26022782,,"088","088",High Park North,High Park North (88),Not an NIA or Emerging Neighbourhood,NA,17826321
"5350103.00",2021S05075350103.00,"0103.00",0.8379,"35",28,101,2502266,26022781,,"087","087",High Park-Swansea,High Park-Swansea (87),Not an NIA or Emerging Neighbourhood,NA,17826337
"5350104.00",2021S05075350104.00,"0104.00",0.7373,"35",31,99,2502268,26022783,,"089","089",Runnymede-Bloor West Village,Runnymede-Bloor West Village (89),Not an NIA or Emerging Neighbourhood,NA,17826305
"5350104.00",2021S05075350104.00,"0104.00",0.7373,"35",31,100,2502267,26022782,,"088","088",High Park North,High Park North (88),Not an NIA or Emerging Neighbourhood,NA,17826321
"5350104.00",2021S05075350104.00,"0104.00",0.7373,"35",31,101,2502266,26022781,,"087","087",High Park-Swansea,High Park-Swansea (87),Not an NIA or Emerging Neighbourhood,NA,17826337
"5350105.00",2021S05075350105.00,"0105.00",0.5507,"35",20,67,2502300,26022815,,"090","090",Junction Area,Junction Area (90),Not an NIA or Emerging Neighbourhood,NA,17825793
"5350105.00",2021S05075350105.00,"0105.00",0.5507,"35",20,99,2502268,26022783,,"089","089",Runnymede-Bloor West Village,Runnymede-Bloor West Village (89),Not an NIA or Emerging Neighbourhood,NA,17826305
"5350105.00",2021S05075350105.00,"0105.00",0.5507,"35",20,100,2502267,26022782,,"088","088",High Park North,High Park North (88),Not an NIA or Emerging Neighbourhood,NA,17826321
"5350106.00",2021S05075350106.00,"0106.00",1.3787,"35",31,66,2502301,26022816,,"091","091",Weston-Pelham Park,Weston-Pelham Park (91),Neighbourhood Improvement Area,NIA,17825777
"5350106.00",2021S05075350106.00,"0106.00",1.3787,"35",31,67,2502300,26022815,,"090","090",Junction Area,Junction Area (90),Not an NIA or Emerging Neighbourhood,NA,17825793
"5350106.00",2021S05075350106.00,"0106.00",1.3787,"35",31,77,2502290,26022805,,"111","111",Rockcliffe-Smythe,Rockcliffe-Smythe (111),Neighbourhood Improvement Area,NIA,17825953
"5350106.00",2021S05075350106.00,"0106.00",1.3787,"35",31,78,2502289,26022804,,"110","110",Keelesdale-Eglinton West,Keelesdale-Eglinton West (110),Neighbourhood Improvement Area,NIA,17825969
"5350107.00",2021S05075350107.00,"0107.00",0.7226,"35",24,50,2502317,26022832,,"109","109",Caledonia-Fairbank,Caledonia-Fairbank (109),Not an NIA or Emerging Neighbourhood,NA,17825521
"5350107.00",2021S05075350107.00,"0107.00",0.7226,"35",24,65,2502302,26022817,,"092","092",Corso Italia-Davenport,Corso Italia-Davenport (92),Not an NIA or Emerging Neighbourhood,NA,17825761
